id;status;md5;etag;size;content-type;date;title;filename;url;report_fname
49abda61-5d81-4d01-a819-b54e705f9c78;200;3df0ca46d88a9df9b86358813d47457b;"""3DF0CA46D88A9DF9B86358813D47457B""";85058;application/pdf;20100101;Case Study Operation Aurora;Case Study Operation Aurora.pdf;https://samples.vx-underground.org/APTs/2010/2010.01.01 - Case Study Operation Aurora/Paper/Case Study Operation Aurora.pdf;20100101_49abda61-5d81-4d01-a819-b54e705f9c78
699dcf3e-1886-43cc-8805-25018aea7fad;200;f4750e89f876496d6211c0467eb22a24;"""F4750E89F876496D6211C0467EB22A24""";327093;application/pdf;20100127;Operation Aurora Detect Diagnose Respond;Operation Aurora Detect Diagnose Respond.pdf;https://samples.vx-underground.org/APTs/2010/2010.01.27 - Operation Aurora Detect Diagnose Respond/Paper/Operation Aurora Detect Diagnose Respond.pdf;20100127_699dcf3e-1886-43cc-8805-25018aea7fad
7a727bf2-6f69-4869-8a88-19eb0124264c;200;f38cee46188b55229448ba5c7bc42a72;"""F38CEE46188B55229448BA5C7BC42A72""";834787;application/pdf;20100210;WhitePaper HBGary Threat Report , Operation Aurora;WhitePaper HBGary Threat Report , Operation Aurora.pdf;https://samples.vx-underground.org/APTs/2010/2010.02.10 - WhitePaper HBGary Threat Report , Operation Aurora/Paper/WhitePaper HBGary Threat Report , Operation Aurora.pdf;20100210_7a727bf2-6f69-4869-8a88-19eb0124264c
8ad93fd3-38e8-4bd8-8132-d6d076fee6f7;200;5058f1af8388633f609cadb75a75dc9d;"""5058F1AF8388633F609CADB75A75DC9D""";1;application/pdf;20100314;Hydraq - In Depth Analysis;Hydraq- In Depth Analysis.pdf;https://samples.vx-underground.org/APTs/2010/2010.03.14 - Hydraq - In Depth Analysis/Paper/Hydraq- In Depth Analysis.pdf;20100314_8ad93fd3-38e8-4bd8-8132-d6d076fee6f7
70550460-e313-43e2-be8e-70037c611da3;200;d6855da1ddf9cfa6782dd2b9b766dd43;"""D6855DA1DDF9CFA6782DD2B9B766DD43""";977874;application/pdf;20100406;Shadows In The Cloud;Shadows in the cloud.pdf;https://samples.vx-underground.org/APTs/2010/2010.04.06 - Shadows In The Cloud/Paper/Shadows in the cloud.pdf;20100406_70550460-e313-43e2-be8e-70037c611da3
3d278068-fbde-4188-b317-e8eb7c96467b;200;b2476ba5d766b4d51d1a1b411316644a;"""B2476BA5D766B4D51D1A1B411316644A""";3604712;application/pdf;20100906;MSUpdater Trojan;MSUpdater Trojan.pdf;https://samples.vx-underground.org/APTs/2010/2010.09.06 - MSUpdater Trojan/Paper/MSUpdater Trojan.pdf;20100906_3d278068-fbde-4188-b317-e8eb7c96467b
5b9babe5-f9fd-45c6-90c0-bed56fb5a3ad;200;88d674726f92a0b205d41f6b44c23d24;"""88D674726F92A0B205D41F6B44C23D24""";4332399;application/pdf;20100930;W32 Stuxnet Dossier;w32 Stuxnet Dossier.pdf;https://samples.vx-underground.org/APTs/2010/2010.09.30 - W32 Stuxnet Dossier/Paper/w32 Stuxnet Dossier.pdf;20100930_5b9babe5-f9fd-45c6-90c0-bed56fb5a3ad
beaa2e76-c867-4d9e-8701-38bf4963b3f7;200;4166fd6ee5c9dc4f80d72c966a641fb8;"""4166FD6EE5C9DC4F80D72C966A641FB8""";187578;application/pdf;20101209;The Stuxnet Computer Worm;The Stuxnet Computer Worm.pdf;https://samples.vx-underground.org/APTs/2010/2010.12.09 - The Stuxnet Computer Worm/Paper/The Stuxnet Computer Worm.pdf;20101209_beaa2e76-c867-4d9e-8701-38bf4963b3f7
a295e7b1-d911-4b27-97e2-388eb555a6d5;200;d47ee135d43dec696746bbe9153d6eea;"""D47EE135D43DEC696746BBE9153D6EEA""";2576720;application/pdf;20110210;Global Energy Cyberattacks - Night Dragon;Global_Energy_Cyberattacks_-_Night_Dragon_.pdf;https://samples.vx-underground.org/APTs/2011/2011.02.10 - Global Energy Cyberattacks - Night Dragon/Paper/Global_Energy_Cyberattacks_-_Night_Dragon_.pdf;20110210_a295e7b1-d911-4b27-97e2-388eb555a6d5
9d17a9d5-decf-4797-8f68-c524dce92ac1;200;dc23ab62c845cd933c6d30781ae887dc;"""DC23AB62C845CD933C6D30781AE887DC""";85063;application/pdf;20110218;Night Dragon Specific Protection;Night Dragon Specific Protection Measures for Consideration.pdf;https://samples.vx-underground.org/APTs/2011/2011.02.18 - Night Dragon Specific Protection/Paper/Night Dragon Specific Protection Measures for Consideration.pdf;20110218_9d17a9d5-decf-4797-8f68-c524dce92ac1
